ទក្ខិណាវដ្ដ	ទ・ក・្・ខ・ិ・ណ・ា・វ・ដ・្・ដ
ទស្សនាវដ្ដី	ទ・ស・្・ស・ន・ា・វ・ដ・្・ដ・ី
ប្រវាលវដ្ដសង្សារ	ប・្・រ・វ・ា・ល・វ・ដ・្・ដ・ស・ង・្・ស・ា・រ
ម៉ដ្ដ	ម・៉・ដ・្・ដ
លលាដបដ្ដ	ល・ល・ា・ដ・ប・ដ・្・ដ
លលាដប័ដ្ដ	ល・ល・ា・ដ・ប・័・ដ・្・ដ
វដ្ដ	វ・ដ・្・ដ
វដ្ដទុក្ខ	វ・ដ・្・ដ・ទ・ុ・ក・្・ខ
វដ្ដភ័យ	វ・ដ・្・ដ・ភ・័・យ
វដ្ដមូល	វ・ដ・្・ដ・ម・ូ・ល
វដ្ដលោក	វ・ដ・្・ដ・ល・ោ・ក
វដ្ដសង្សារ	វ・ដ・្・ដ・ស・ង・្・ស・ា・រ
វដ្ដសន្ធិ	វ・ដ・្・ដ・ស・ន・្・ធ・ិ
វដ្ដសំសារ	វ・ដ・្・ដ・ស・ំ・ស・ា・រ
វដ្ដ—	វ・ដ・្・ដ・—
វដ្ដៈ	វ・ដ・្・ដ・ៈ
វដ្ដទឹក	វ・ដ・្・ដ・ទ・ឹ・ក
វដ្ដរដូវ	វ・ដ・្・ដ・រ・ដ・ូ・វ
វិវដ្ដ	វ・ិ・វ・ដ・្・ដ
វិវដ្ដៈ	វ・ិ・វ・ដ・្・ដ・ៈ
សង្សារវដ្ដ	ស・ង・្・ស・ា・រ・វ・ដ・្・ដ
សមុទ្ទសុប័ដ្ដន៍	ស・ម・ុ・ទ・្・ទ・ស・ុ・ប・័・ដ・្・ដ・ន・៍
សិលាបដ្ដ	ស・ិ・ល・ា・ប・ដ・្・ដ
សុវណ្ណបដ្ដ	ស・ុ・វ・ណ・្・ណ・ប・ដ・្・ដ
ហដ្ដចោរក	ហ・ដ・្・ដ・ច・ោ・រ・ក
ហដ្ដចោរិកា	ហ・ដ・្・ដ・ច・ោ・រ・ិ・ក・ា
ហដ្ដវិលាសិនី	ហ・ដ・្・ដ・វ・ិ・ល・ា・ស・ិ・ន・ី
ហិរញ្ញបដ្ដ	ហ・ិ・រ・ញ・្・ញ・ប・ដ・្・ដ
អក្ខរបដ្ដ	អ・ក・្・ខ・រ・ប・ដ・្・ដ
អដ្ដប្រតិភូ	អ・ដ・្・ដ・ប・្・រ・ត・ិ・ភ・ូ
ឧត្តរាវដ្ដ	ឧ・ត・្・ត・រ・ា・វ・ដ・្・ដ
វដ្ដ	វ・ដ・្・ដ
វិវដ្ដ	វ・ិ・វ・ដ・្・ដ
វិវដ្ដ	វ・ិ・វ・ដ・្・ដ
