ផ្តាស៊ើរ	ផ・្・ត・ា・ស・៊・ើ・រ
ប្ដូរផ្តាច់	ប・្・ដ・ូ・រ・ផ・្・ត・ា・ច・់
ផ្តន្ទា	ផ・្・ត・ន・្・ទ・ា
ព្រែកផ្តៅ	ព・្・រ・ែ・ក・ផ・្・ត・ៅ
កោះផ្តៅ	ក・ោ・ះ・ផ・្・ត・ៅ
ព្រៃផ្តៅត្បូង	ព・្・រ・ៃ・ផ・្・ត・ៅ・ត・្・ប・ូ・ង
ផ្តាច់ផ្តិល	ផ・្・ត・ា・ច・់・ផ・្・ត・ិ・ល
ផ្តាច់ផ្តិល	ផ・្・ត・ា・ច・់・ផ・្・ត・ិ・ល
អង្គរផ្តៀក	អ・ង・្・គ・រ・ផ・្・ត・ៀ・ក
ផ្តៅជុំ	ផ・្・ត・ៅ・ជ・ុ・ំ
ផ្តោត	ផ・្・ត・ោ・ត
ផ្តេស	ផ・្・ត・េ・ស
ផ្តុំ	ផ・្・ត・ុ・ំ
ដុំផ្តៅ	ដ・ុ・ំ・ផ・្・ត・ៅ
ផ្តល់	ផ・្・ត・ល・់
ផ្តួល	ផ・្・ត・ួ・ល
ផ្តើម	ផ・្・ត・ើ・ម
ផ្តេសផ្តាស	ផ・្・ត・េ・ស・ផ・្・ត・ា・ស
ផ្តេសផ្តាស	ផ・្・ត・េ・ស・ផ・្・ត・ា・ស
ប្រទេចផ្តាសា	ប・្・រ・ទ・េ・ច・ផ・្・ត・ា・ស・ា
ប្តូរផ្តាច់	ប・្・ត・ូ・រ・ផ・្・ត・ា・ច・់
ត្រពាំងផ្តៀក	ត・្・រ・ព・ា・ំ・ង・ផ・្・ត・ៀ・ក
ផ្តាស	ផ・្・ត・ា・ស
ក្រងផ្តិល	ក・្・រ・ង・ផ・្・ត・ិ・ល
ប្រមូលផ្តុំ	ប・្・រ・ម・ូ・ល・ផ・្・ត・ុ・ំ
ដើមផ្តៀក	ដ・ើ・ម・ផ・្・ត・ៀ・ក
ផ្តត់	ផ・្・ត・ត・់
ផ្តៀក	ផ・្・ត・ៀ・ក
ដងផ្តៀក	ដ・ង・ផ・្・ត・ៀ・ក
ព្រៃផ្តៀក	ព・្・រ・ៃ・ផ・្・ត・ៀ・ក
ចាប់ផ្តើម	ច・ា・ប・់・ផ・្・ត・ើ・ម
ប្តឹងផ្តល់	ប・្・ត・ឹ・ង・ផ・្・ត・ល・់
ផ្តៅជុំលិច	ផ・្・ត・ៅ・ជ・ុ・ំ・ល・ិ・ច
ក្រាំងព្រៃផ្តៅ	ក・្・រ・ា・ំ・ង・ព・្・រ・ៃ・ផ・្・ត・ៅ
ផ្តិល	ផ・្・ត・ិ・ល
ផ្តាំ	ផ・្・ត・ា・ំ
ផ្តែផ្តាំ	ផ・្・ត・ែ・ផ・្・ត・ា・ំ
ផ្តែផ្តាំ	ផ・្・ត・ែ・ផ・្・ត・ា・ំ
ផ្តេក	ផ・្・ត・េ・ក
អូរផ្តៅ	អ・ូ・រ・ផ・្・ត・ៅ
ផ្ទុកផ្តាក់	ផ・្・ទ・ុ・ក・ផ・្・ត・ា・ក・់
ភាពប្តូរផ្តាច់	ភ・ា・ព・ប・្・ត・ូ・រ・ផ・្・ត・ា・ច・់
ផ្តួច	ផ・្・ត・ួ・ច
ផ្តៅពេន	ផ・្・ត・ៅ・ព・េ・ន
ផ្តាច់	ផ・្・ត・ា・ច・់
ផ្តាសា	ផ・្・ត・ា・ស・ា
ព្រះផ្តៅ	ព・្・រ・ះ・ផ・្・ត・ៅ
ផ្តូរ	ផ・្・ត・ូ・រ
ផ្តៅជុំកើត	ផ・្・ត・ៅ・ជ・ុ・ំ・ក・ើ・ត
អណ្តូងផ្តៅ	អ・ណ・្・ត・ូ・ង・ផ・្・ត・ៅ
ព្រៃផ្តៅ	ព・្・រ・ៃ・ផ・្・ត・ៅ
